Nr;Sample;Tijd;Replica;Category;n;total_count;percentage
1;CBS584.75;0;1;1Blastoconidia;154;180;85.55555556
2;CBS584.75;0;1;2Swollen cells;26;180;14.44444444
3;CBS584.75;0;1;3Chlamydospores;0;0;0
4;CBS584.75;0;1;4Hyphae;0;0;0
5;CBS584.75;0;1;5Unidentified;0;0;0
6;CBS584.75;0;2;1Blastoconidia;129;197;65.4822335
7;CBS584.75;0;2;2Swollen cells;63;197;31.97969543
8;CBS584.75;0;2;3Chlamydospores;0;0;0
9;CBS584.75;0;2;4Hyphae;2;197;1.015228426
10;CBS584.75;0;2;5Unidentified;3;197;1.52284264
11;CBS584.75;0;3;1Blastoconidia;82;98;83.67346939
12;CBS584.75;0;3;2Swollen cells;13;98;13.26530612
13;CBS584.75;0;3;3Chlamydospores;0;0;0
14;CBS584.75;0;3;4Hyphae;2;98;2.040816327
15;CBS584.75;0;3;5Unidentified;1;98;1.020408163
16;CBS584.75;3;1;1Blastoconidia;113;164;68.90243902
17;CBS584.75;3;1;2Swollen cells;49;164;29.87804878
18;CBS584.75;3;1;3Chlamydospores;0;0;0
19;CBS584.75;3;1;4Hyphae;1;164;0.609756098
20;CBS584.75;3;1;5Unidentified;1;164;0.609756098
21;CBS584.75;3;2;1Blastoconidia;82;179;45.81005587
22;CBS584.75;3;2;2Swollen cells;92;179;51.39664804
23;CBS584.75;3;2;3Chlamydospores;0;0;0
24;CBS584.75;3;2;4Hyphae;2;179;1.117318436
25;CBS584.75;3;2;5Unidentified;3;179;1.675977654
26;CBS584.75;3;3;1Blastoconidia;84;113;74.33628319
27;CBS584.75;3;3;2Swollen cells;27;113;23.89380531
28;CBS584.75;3;3;3Chlamydospores;0;0;0
29;CBS584.75;3;3;4Hyphae;1;113;0.884955752
30;CBS584.75;3;3;5Unidentified;1;113;0.884955752
31;CBS584.75;6;1;1Blastoconidia;47;168;27.97619048
32;CBS584.75;6;1;2Swollen cells;112;168;66.66666667
33;CBS584.75;6;1;3Chlamydospores;0;0;0
34;CBS584.75;6;1;4Hyphae;2;168;1.19047619
35;CBS584.75;6;1;5Unidentified;7;168;4.166666667
36;CBS584.75;6;2;1Blastoconidia;43;202;21.28712871
37;CBS584.75;6;2;2Swollen cells;139;202;68.81188119
38;CBS584.75;6;2;3Chlamydospores;0;0;0
39;CBS584.75;6;2;4Hyphae;10;202;4.95049505
40;CBS584.75;6;2;5Unidentified;10;202;4.95049505
41;CBS584.75;6;3;1Blastoconidia;49;122;40.16393443
42;CBS584.75;6;3;2Swollen cells;67;122;54.91803279
43;CBS584.75;6;3;3Chlamydospores;1;122;0.819672131
44;CBS584.75;6;3;4Hyphae;4;122;3.278688525
45;CBS584.75;6;3;5Unidentified;1;122;0.819672131
46;CBS584.75;9;1;1Blastoconidia;9;163;5.521472393
47;CBS584.75;9;1;2Swollen cells;124;163;76.07361963
48;CBS584.75;9;1;3Chlamydospores;0;0;0
49;CBS584.75;9;1;4Hyphae;21;163;12.88343558
50;CBS584.75;9;1;5Unidentified;9;163;5.521472393
51;CBS584.75;9;2;1Blastoconidia;20;198;10.1010101
52;CBS584.75;9;2;2Swollen cells;139;198;70.2020202
53;CBS584.75;9;2;3Chlamydospores;0;0;0
54;CBS584.75;9;2;4Hyphae;18;198;9.090909091
55;CBS584.75;9;2;5Unidentified;21;198;10.60606061
56;CBS584.75;9;3;1Blastoconidia;18;117;15.38461538
57;CBS584.75;9;3;2Swollen cells;84;117;71.79487179
58;CBS584.75;9;3;3Chlamydospores;1;117;0.854700855
59;CBS584.75;9;3;4Hyphae;7;117;5.982905983
60;CBS584.75;9;3;5Unidentified;7;117;5.982905983
61;CBS584.75;12;1;1Blastoconidia;15;167;8.982035928
62;CBS584.75;12;1;2Swollen cells;82;167;49.10179641
63;CBS584.75;12;1;3Chlamydospores;2;167;1.19760479
64;CBS584.75;12;1;4Hyphae;51;167;30.53892216
65;CBS584.75;12;1;5Unidentified;17;167;10.17964072
66;CBS584.75;12;2;1Blastoconidia;21;199;10.55276382
67;CBS584.75;12;2;2Swollen cells;85;199;42.71356784
68;CBS584.75;12;2;3Chlamydospores;1;199;0.502512563
69;CBS584.75;12;2;4Hyphae;52;199;26.13065327
70;CBS584.75;12;2;5Unidentified;40;199;20.10050251
71;CBS584.75;12;3;1Blastoconidia;13;106;12.26415094
72;CBS584.75;12;3;2Swollen cells;63;106;59.43396226
73;CBS584.75;12;3;3Chlamydospores;2;106;1.886792453
74;CBS584.75;12;3;4Hyphae;11;106;10.37735849
75;CBS584.75;12;3;5Unidentified;17;106;16.03773585
76;CBS584.75;15;1;1Blastoconidia;42;194;21.64948454
77;CBS584.75;15;1;2Swollen cells;32;194;16.49484536
78;CBS584.75;15;1;3Chlamydospores;5;194;2.577319588
79;CBS584.75;15;1;4Hyphae;94;194;48.45360825
80;CBS584.75;15;1;5Unidentified;21;194;10.82474227
81;CBS584.75;15;2;1Blastoconidia;70;230;30.43478261
82;CBS584.75;15;2;2Swollen cells;37;230;16.08695652
83;CBS584.75;15;2;3Chlamydospores;1;230;0.434782609
84;CBS584.75;15;2;4Hyphae;102;230;44.34782609
85;CBS584.75;15;2;5Unidentified;20;230;8.695652174
86;CBS584.75;15;3;1Blastoconidia;14;97;14.43298969
87;CBS584.75;15;3;2Swollen cells;26;97;26.80412371
88;CBS584.75;15;3;3Chlamydospores;3;97;3.092783505
89;CBS584.75;15;3;4Hyphae;43;97;44.32989691
90;CBS584.75;15;3;5Unidentified;11;97;11.34020619
